"","Station","State","airportCode","Lat","Lon","Elevation","WMO"
"1","Central","AK","PARL",65.57,-144.8,292,99999
"2","Atka","AK","PAAK",52.22,-174.2,17,99999
"3","Buckland","AK","PABL",65.99,-161.12,0,99999
"4","Portage Glacier","AK","PATO",60.79,-148.83,29,99999
"5","Nivalina","AK","PAVL",67.73,-164.55,3,70148
"6","Golovin","AK","PAGL",64.55,-163.05,8,70199
"7","Kaltag","AK","PAKV",64.32,-158.73,60,99999
"8","Egegik","AK","PAII",58.42,-157.37,119,99999
"9","Koyuk","AK","PAKK",64.95,-160.8,40,99999
"10","Chandalar Lake","AK","PALR",67.5,-148.48,585,99999
"11","Red Dog Mine","AK","PARD",68.03,-162.9,297,99999
"12","Birchwood","AK","PABV",61.42,-149.52,29,99999
"13","Adak NAS","AK","PADK",51.88,-176.65,4,70454
"14","Noatak","AK","PAWN",67.57,-162.98,30,99999
"15","Kodiak","AK","PADQ",57.75,-152.5,34,70350
"16","Anchorage","AK","PANC",61.17,-150.02,40,70273
"17","Annette Island","AK","PANT",55.03,-131.57,34,70398
"18","Barrow","AK","PABR",71.3,-156.78,4,70026
"19","Cold Bay","AK","PACD",55.2,-162.72,31,70316
"20","Dillingham","AK","PADL",59.05,-158.52,29,70321
"21","Fairbanks","AK","PAFA",64.82,-147.87,138,70261
"22","Galbraith Lake","AK","PAGB",68.48,-149.48,814,70063
"23","Homer","AK","PAHO",59.63,-151.5,22,70341
"24","Juneau","AK","PAJN",58.37,-134.58,7,70381
"25","McGrath","AK","PAMC",62.97,-155.62,103,70231
"26","Mekoryuk","AK","PAMY",60.37,-166.27,15,99999
"27","Kuparuk","AK","PAKU",70.32,-149.58,20,99999
"28","Nome","AK","PAOM",64.5,-165.43,7,70200
"29","Kotzebue","AK","PAOT",66.87,-162.63,5,70133
"30","Saint Paul Island","AK","PASN",57.15,-170.22,9,70308
"31","Seldovia","AK","PASO",59.44,-151.7,8,99999
"32","Sheep Mountain","AK","PASP",61.82,-149.38,2959,99999
"33","Talkeetna","AK","PATK",62.3,-150.1,109,70251
"34","Unalakleet","AK","PAUN",63.88,-160.8,6,70207
"35","Point Hope","AK","PAPO",68.35,-166.8,4,99999
"36","Valdez","AK","PAVD",61.13,-146.35,10,70275
"37","Yakutat","AK","PAYA",59.52,-139.67,9,70361
"38","Ambler","AK","PAFM",67.1,-157.85,88,70171
"39","King Salmon","AK","PAKN",58.68,-156.65,15,70326
"40","Cape Lisburne","AK","PALU",68.88,-166.12,4,70104
"41","Shemya AFB","AK","PASY",52.72,174.12,30,70414
"42","Aniak","AK","PANI",61.58,-159.53,26,70232
"43","Bettles","AK","PABT",66.92,-151.52,196,70174
"44","Dutch Harbor","AK","PADU",53.88,-166.53,4,70489
"45","Fort Yukon","AK","PFYU",66.57,-145.27,431,70194
"46","Middleton Island","AK","PAMD",59.43,-146.33,14,70343
"47","Port Heiden","AK","PAPH",56.95,-158.62,29,70333
"48","Deadhorse","AK","PASC",70.2,-148.47,17,70063
"49","Sitka","AK","PASI",57.07,-135.35,20,70371
"50","Cantwell","AK","PATW",63.38,-148.95,668,99999
"51","Arctic Village","AK","PARC",68.12,-145.58,636,99999
"52","Big River Lakes","AK","PALV",60.82,-152.3,12,99999
"53","Bethel","AK","PABE",60.78,-161.8,46,70219
"54","Big Delta","AK","PABI",64,-145.73,388,70267
"55","Barter Island","AK","PABA",70.13,-143.63,15,70086
"56","Eagle","AK","PAEG",64.77,-141.15,268,99999
"57","Metlakatla","AK","PAMM",55.08,-131.35,1,99999
"58","Elfin Cove","AK","PAEL",58.2,-136.35,0,99999
"59","Fairbanks Ft. Wainwright","AK","PAFB",64.84,-147.61,137,99999
"60","Gulkana","AK","PAGK",62.15,-145.45,481,70271
"61","Ketchikan","AK","PAKT",55.35,-131.7,29,70395
"62","Mckinley Park","AK","PAIN",63.73,-148.92,524,99999
"63","Minchumina","AK","PAMH",63.9,-152.27,214,70246
"64","Northway","AK","PAOR",62.97,-141.93,525,70291
"65","Petersburg","AK","PAPG",56.82,-132.97,0,70386
"66","Puntilla Lake","AK","PAPT",62.1,-152.75,560,70249
"67","Sand Point","AK","PASD",55.33,-160.5,7,99999
"68","Seward","AK","PAWD",60.12,-149.45,18,70277
"69","Skagway","AK","PAGY",59.47,-135.3,5,70362
"70","Shishmaref","AK","PASH",66.27,-166.03,2,99999
"71","Tanana","AK","PATA",65.17,-152.1,67,70178
"72","Umiat","AK","PAUM",69.37,-152.13,85,70162
"73","Port Alsworth","AK","PALJ",60.2,-154.3,81,99999
"74","Port Alexander","AK","PAAP",56.25,-134.65,1,99999
"75","Cape Romanzoff","AK","PACZ",61.78,-166.03,139,70212
"76","Cape Newenham","AK","PAEH",58.65,-162.07,165,70305
"77","Galena","AK","PAGA",64.73,-156.93,46,70222
"78","Sparrevohn","AK","PASV",61.1,-155.58,480,70235
"79","Deering","AK","PADE",66.07,-162.77,5,99999
"80","Slana","AK","PADT",62.73,-143.92,738,99999
"81","Cordova","AK","PACV",60.5,-145.5,13,70296
"82","Elmendorf AFB","AK","PAED",61.25,-149.79,59,70272
"83","Kenai","AK","PAEN",60.57,-151.25,29,70259
"84","Nenana","AK","PANN",64.55,-149.08,110,70260
"85","Iliamna","AK","PAIL",59.75,-154.92,49,70340
"86","Chignik","AK","PAJC",56.31,-158.37,20,99999
"87","Lake Hood","AK","PALH",61.18,-149.97,22,99999
"88","Hooper Bay","AK","PAHP",61.52,-166.15,5,99999
"89","Skwentna","AK","PASW",61.97,-151.2,45,70255
"90","Eureka","AK","PAZK",61.94,-147.17,1003,99999
"91","Healy River","AK","PAHV",63.83,-149,396,70264
"92","Hayes River","AK","PAHZ",61.98,-152.08,305,99999
"93","St. Marys","AK","PASM",62.06,-163.3,92,99999
"94","Snowshoe Lake","AK","PALK",62.03,-146.67,735,99999
"95","Whittier","AK","PAWR",60.78,-148.72,9,99999
"96","Anaktuvuk Pass","AK","PAKP",68.08,-151.44,2110,99999
"97","Anvik","AK","PANV",62.39,-160.11,99,99999
"98","Huslia","AK","PAHS",65.42,-156.23,180,99999
"99","Hydaburg","AK","PAHY",55.12,-132.5,0,99999
"100","Kake","AK","PAFE",56.97,-133.95,9,99999
"101","Anchorage Merrill","AK","PAMR",61.22,-149.85,42,99999
"102","Palmer","AK","PAAQ",61.6,-149.08,71,70274
"103","Sleetmute","AK","PASL",61.43,-157.09,178,99999
"104","Soldotna","AK","PASX",60.28,-151.02,107,99999
"105","St. George","AK","PAPB",56.58,-169.66,17,99999
"106","Togiak","AK","PATG",59.05,-160.4,4,99999
"107","Valdez","AK","PAVW",61.13,-146.35,10,70275
"108","Selawik","AK","PASK",66.3,-159.6,25,99999
"109","Wrangell","AK","PAWG",56.48,-132.37,13,70387
"110","Wasilla","AK","PAWS",61.57,-149.54,106,99999
"111","Chulitna","AK","PAEC",62.88,-149.83,381,99999
"112","Willow","AK","PAUO",61.75,-150.05,67,70372
"113","Haines Harbor","AK","PAHN",59.23,-135.43,10,99999
"114","Nabesna","AK","PABN",62.97,-141.88,119,99999
"115","Sutton","AK","PAJV",61.72,-148.88,168,70269
"116","Fairbanks Eiels","AK","PAEI",64.67,-147.1,167,70265
"117","Tin City","AK","PATC",65.57,-167.92,82,70117
"118","Tatalina","AK","PATL",62.9,-155.98,294,99999
"119","Emmonak","AK","PAEM",62.77,-164.52,3,99999
"120","Klawock","AK","PAKW",55.58,-133.07,15,99999
"121","Gustavus","AK","PAGS",58.42,-135.73,9,70367
"122","McCarthy","AK","PAMX",61.43,-142.92,455,99999
"123","Savoonga","AK","PASA",63.68,-170.5,16,99999
"124","Hoonah","AK","PAOH",58.1,-135.45,0,99999
"125","Indian Mountain","AK","PAIM",66,-153.7,375,70173
"126","Nuiqsut","AK","PAQT",70.21,-150.99,17,99999
"127","Alabaster","AL","KEET",33.18,-86.78,178,99999
"128","Anniston","AL","KANB",33.58,-85.85,186,99999
"129","Auburn-Opelika","AL","KAUO",32.62,-85.43,236,99999
"130","Mobile Downtown","AL","KBFM",30.63,-88.07,8,99999
"131","Birmingham","AL","KBHM",33.57,-86.75,192,72228
"132","Centreville","AL","KCKL",32.9,-87.25,140,72229
"133","Decatur","AL","KDCU",34.65,-86.95,180,99999
"134","Dothan","AL","KDHN",31.32,-85.45,122,99999
"135","Evergreen","AL","KGZH",31.42,-87.04,79,99999
"136","Gadsden","AL","KGAD",33.97,-86.08,173,99999
"137","Huntsville","AL","KHSV",34.65,-86.77,196,72323
"138","Montgomery","AL","KMGM",32.3,-86.4,62,72226
"139","Mobile","AL","KMOB",30.68,-88.25,67,72223
"140","Muscle Shoals","AL","KMSL",34.75,-87.62,168,99999
"141","Maxwell AFB","AL","KMXF",32.38,-86.37,51,99999
"142","Ozark","AL","KOZR",31.28,-85.72,91,99999
"143","Tuscaloosa","AL","KTCL",33.22,-87.62,52,99999
"144","Troy","AL","KTOI",31.87,-86.02,121,99999
"145","Searcy","AR","KSRC",35.21,-91.74,80,99999
"146","NW Arkansas Airport","AR","KXNA",36.28,-94.31,392,99999
"147","Mount Ida","AR","KMWT",34.55,-93.58,214,99999
"148","Russellville","AR","KRUE",35.26,-93.09,115,99999
"149","Walnut Ridge","AR","KARG",36.13,-90.92,83,99999
"150","Springdale","AR","KASG",36.18,-94.12,412,99999
"151","Batesville","AR","KBVX",35.73,-91.65,141,99999
"152","Blytheville","AR","KBYH",35.97,-89.95,78,99999
"153","El Dorado","AR","KELD",33.22,-92.8,77,99999
"154","Flippin","AR","KFLP",36.3,-92.47,350,99999
"155","Fort Smith","AR","KFSM",35.33,-94.37,141,72344
"156","Fayetteville","AR","KFYV",36,-94.17,381,99999
"157","Hot Springs","AR","KHOT",34.48,-93.1,165,99999
"158","Harrison","AR","KHRO",36.27,-93.15,416,99999
"159","Jonesboro","AR","KJBR",35.83,-90.65,80,99999
"160","Little Rock","AR","KLIT",34.73,-92.23,79,99999
"161","Little Rock AFB","AR","KLRF",34.92,-92.15,95,99999
"162","Pine Bluff","AR","KPBF",34.18,-91.93,63,99999
"163","Rogers","AR","KROG",36.37,-94.1,415,99999
"164","Stuttgart","AR","KSGT",34.6,-91.57,68,99999
"165","Siloam Spring","AR","KSLG",36.2,-94.48,300,99999
"166","Texarkana","AR","KTXK",33.45,-93.98,119,99999
"167","Bentonville","AR","KVBT",36.35,-94.22,395,99999
"168","Mountain Home","AR","KBPK",36.37,-92.47,280,99999
"169","Blytheville","AR","KHKA",35.94,-89.83,78,99999
"170","Monticello","AR","KLLQ",33.64,-91.76,83,99999
"171","Casa Grande","AZ","KCGZ",32.95,-111.77,446,99999
"172","Tucson Davis Monthan","AZ","KDMA",32.17,-110.88,824,99999
"173","Douglas Bisbee","AZ","KDUG",31.47,-109.6,1265,99999
"174","Phoenix Deer Valley","AZ","KDVT",33.68,-112.08,450,99999
"175","Safford","AZ","KSAD",32.82,-109.68,950,99999
"176","Mesa","AZ","KFFZ",33.47,-111.73,424,99999
"177","Sierra Vista","AZ","KFHU",31.6,-110.35,1438,72273
"178","Flagstaff","AZ","KFLG",35.13,-111.67,2137,99999
"179","Gila Bend","AZ","KGBN",32.88,-112.72,262,74724
"180","Grand Canyon","AZ","KGCN",35.95,-112.15,2014,99999
"181","Goodyear","AZ","KGYR",33.42,-112.38,295,99999
"182","Bullhead City","AZ","KIFP",35.1,-114.34,9999,99999
"183","Kingman","AZ","KIGM",35.27,-113.95,1033,72370
"184","Winslow","AZ","KINW",35.02,-110.73,1488,72374
"185","Williams AFB","AZ","KIWA",33.32,-111.65,422,99999
"186","Glendale Luke AFB","AZ","KLUF",33.53,-112.38,332,99999
"187","Nogales","AZ","KOLS",31.42,-110.85,1198,99999
"188","Yuma MCAS","AZ","KNYL",32.65,-114.62,65,99999
"189","Page","AZ","KPGA",36.93,-111.45,1304,72371
"190","Phoenix","AZ","KPHX",33.43,-112.02,337,72278
"191","Prescott","AZ","KPRC",34.65,-112.42,1537,99999
"192","Scottsdale","AZ","KSDL",33.62,-111.92,460,99999
"193","St. Johns","AZ","KSJN",34.52,-109.38,1747,99999
"194","Show Low","AZ","KSOW",34.27,-110,1954,99999
"195","Tucson","AZ","KTUS",32.12,-110.93,779,72274
"196","Valle","AZ","K40G",35.65,-112.15,1829,99999
"197","Yuma","AZ","KYUM",32.5,-114.4,231,99999
"198","Window Rock","AZ","KRQE",35.66,-109.06,2056,99999
"199","Avalon","CA","KAVX",33.4,-118.42,488,99999
"200","Newhall","CA","K3A6",34.37,-118.57,300,99999
"201","Ramona","CA","KRNM",33.04,-116.91,424,99999
"202","Point Piedras","CA","K87Q",35.67,-121.28,21,72390
"203","Arcata","CA","KACV",40.98,-124.1,66,99999
"204","Napa County","CA","KAPC",38.22,-122.28,10,99999
"205","Beale AFB","CA","KBAB",39.13,-121.43,34,99999
"206","Bakersfield","CA","KBFL",35.43,-119.05,150,72384
"207","Bishop","CA","KBIH",37.37,-118.37,1263,72480
"208","Blythe","CA","KBLH",33.62,-114.72,121,99999
"209","Blue Canyon","CA","KBLU",39.28,-120.72,1611,99999
"210","Burney","CA","KBNY",40.88,-121.67,957,99999
"211","Beaumont","CA","KBUO",33.93,-116.97,692,99999
"212","Burbank","CA","KBUR",34.2,-118.35,236,72288
"213","Concord","CA","KCCR",37.98,-122.05,7,99999
"214","Crescent City","CA","KCEC",41.78,-124.23,17,99999
"215","Chico","CA","KCIC",39.8,-121.85,73,99999
"216","Camarillo","CA","KCMA",34.22,-119.08,23,99999
"217","Chino","CA","KCNO",33.97,-117.63,198,99999
"218","Carlsbad","CA","KCRQ",33.13,-117.28,100,99999
"219","Campo","CA","KCZZ",32.62,-116.47,802,99999
"220","Daggett-Barstow","CA","KDAG",34.85,-116.78,587,99999
"221","Edwards AFB","CA","KEDW",34.9,-117.88,702,72381
"222","Needles","CA","KEED",34.77,-114.62,302,99999
"223","Eureka","CA","KEKA",40.8,-124.17,18,72594
"224","El Monte","CA","KEMT",34.08,-118.03,90,99999
"225","Fresno","CA","KFAT",36.77,-119.72,100,72389
"226","Fullerton","CA","KFUL",33.87,-117.98,29,99999
"227","Hawthorne","CA","KHHR",33.92,-118.33,19,99999
